team,confederation,host_country_flag
Kabylia,UNKNOWN,0
Kazakhstan,UEFA,0
Kenya,CAF,0
Kernow,UNKNOWN,0
Kiribati,UNKNOWN,0
Kosovo,UEFA,0
Kurdistan,UNKNOWN,0
Kuwait,AFC,0
Kyrgyzstan,AFC,0
Kárpátalja,UNKNOWN,0
Laos,AFC,0
Latvia,UEFA,0
Lebanon,AFC,0
Lesotho,CAF,0
Liberia,CAF,0
Libya,CAF,0
Liechtenstein,UNKNOWN,0
Lithuania,UEFA,0
Luhansk PR,UNKNOWN,0
Luxembourg,UNKNOWN,0
Macau,AFC,0
Madagascar,CAF,0
Madrid,UNKNOWN,0
Malawi,CAF,0
Malaysia,AFC,0
Maldives,AFC,0
Mali,CAF,0
Malta,UEFA,0
Manchukuo,UNKNOWN,0
Mapuche,UNKNOWN,0
Marshall Islands,UNKNOWN,0
Martinique,UNKNOWN,0
Matabeleland,UNKNOWN,0
Maule Sur,UNKNOWN,0
Mauritania,CAF,0
Mauritius,CAF,0
Mayotte,UNKNOWN,0
Menorca,UNKNOWN,0
Mexico,CONCACAF,1
Micronesia,UNKNOWN,0
Moldova,UEFA,0
Monaco,UNKNOWN,0
Mongolia,AFC,0
Montenegro,UEFA,0
Montserrat,UNKNOWN,0
Morocco,CAF,0
Mozambique,CAF,0
Myanmar,AFC,0
Namibia,CAF,0
Nepal,AFC,0
Netherlands,UEFA,0
New Caledonia,UNKNOWN,0
New Zealand,OFC,0
Nicaragua,CONCACAF,0
Niger,CAF,0
Nigeria,CAF,0
Niue,OFC,0
North Korea,AFC,0
North Macedonia,UNKNOWN,0
North Vietnam,UNKNOWN,0
Northern Cyprus,UNKNOWN,0
Northern Ireland,UNKNOWN,0
Northern Mariana Islands,UNKNOWN,0
Norway,UEFA,0
Occitania,UNKNOWN,0
Oman,AFC,0
Orkney,UNKNOWN,0
Padania,UNKNOWN,0
Pakistan,AFC,0
Palau,OFC,0
Palestine,AFC,0
Panama,CONCACAF,0
Panjab,UNKNOWN,0
Papua New Guinea,OFC,0
Paraguay,CONMEBOL,0
Parishes of Jersey,UNKNOWN,0
Peru,CONMEBOL,0
Philippines,AFC,0
Poland,UEFA,0
Portugal,UEFA,0
Provence,UNKNOWN,0
Puerto Rico,UNKNOWN,0
Qatar,AFC,0
Quebec,UNKNOWN,0
Raetia,UNKNOWN,0
Republic of Ireland,UEFA,0
Republic of St. Pauli,UNKNOWN,0
Rhodes,UNKNOWN,0
Romani people,UNKNOWN,0
Romania,UEFA,0
Russia,UEFA,0
Rwanda,CAF,0
Ryūkyū,UNKNOWN,0
Réunion,UNKNOWN,0
Saare County,UNKNOWN,0
Saarland,UNKNOWN,0
Saint Barthélemy,UNKNOWN,0
Saint Helena,UNKNOWN,0
Saint Kitts and Nevis,UNKNOWN,0
Saint Lucia,UNKNOWN,0
Saint Martin,UNKNOWN,0
Saint Pierre and Miquelon,UNKNOWN,0
Saint Vincent and the Grenadines,UNKNOWN,0
Samoa,OFC,0
San Marino,UNKNOWN,0
Sark,UNKNOWN,0
Saudi Arabia,AFC,0
Saugeais,UNKNOWN,0
Scotland,UEFA,0
Sealand,UNKNOWN,0
Seborga,UNKNOWN,0
Senegal,CAF,0
Serbia,UEFA,0
Seychelles,CAF,0
Shetland,UNKNOWN,0
Sierra Leone,CAF,0
Silesia,UNKNOWN,0
Singapore,AFC,0
Sint Maarten,UNKNOWN,0
Slovakia,UEFA,0
Slovenia,UEFA,0
Solomon Islands,OFC,0
Somalia,CAF,0
Somaliland,UNKNOWN,0
South Africa,CAF,0
South Korea,AFC,0
South Ossetia,UNKNOWN,0
South Sudan,UNKNOWN,0
South Yemen,UNKNOWN,0
Spain,UEFA,0
Sri Lanka,AFC,0
Sudan,CAF,0
Suriname,CONCACAF,0
Surrey,UNKNOWN,0
Sweden,UEFA,0
Switzerland,UEFA,0
Syria,AFC,0
Székely Land,UNKNOWN,0
Sápmi,UNKNOWN,0
São Tomé and Príncipe,UNKNOWN,0
Tahiti,UNKNOWN,0
Taiwan,AFC,0
Tajikistan,AFC,0
Tamil Eelam,UNKNOWN,0
Tanzania,CAF,0
Thailand,AFC,0
Tibet,UNKNOWN,0
Ticino,UNKNOWN,0
Timor-Leste,UNKNOWN,0
Togo,CAF,0
Tonga,OFC,0
Trinidad and Tobago,UNKNOWN,0
Tunisia,CAF,0
Turkey,UEFA,0
Turkmenistan,AFC,0
Turks and Caicos Islands,UNKNOWN,0
Tuvalu,UNKNOWN,0
Two Sicilies,UNKNOWN,0
Uganda,CAF,0
Ukraine,UEFA,0
United Arab Emirates,UNKNOWN,0
United Koreans in Japan,UNKNOWN,0
United States,CONCACAF,1
United States Virgin Islands,UNKNOWN,0
Uruguay,CONMEBOL,0
Uzbekistan,AFC,0
Vanuatu,OFC,0
Vatican City,UNKNOWN,0
Venezuela,CONMEBOL,0
Vietnam,AFC,0
Vietnam Republic,UNKNOWN,0
Wales,UNKNOWN,0
Wallis Islands and Futuna,UNKNOWN,0
West Papua,UNKNOWN,0
Western Armenia,UNKNOWN,0
Western Australia,UNKNOWN,0
Western Isles,UNKNOWN,0
Western Sahara,UNKNOWN,0
Yemen,CAF,0
Yemen DPR,UNKNOWN,0
Ynys Môn,UNKNOWN,0
Yorkshire,UNKNOWN,0
Yoruba Nation,UNKNOWN,0
Yugoslavia,UNKNOWN,0
Zambia,CAF,0
Zanzibar,UNKNOWN,0
Zimbabwe,CAF,0
Åland Islands,UNKNOWN,0
